,time,portfolio,stock,order
1,1519,wizey,13,-123.0
3,1519,wizey,15,150.0
1,1519,uitcq,17,32.0
0,1520,djruh,0,-13.0
2,1520,hjmxr,6,99.0
0,1520,hipzw,8,-17.0
2,1520,hipzw,10,55.0
3,1520,hipzw,11,-45.0
1,1520,wizey,13,16.0
3,1520,wizey,15,9.0
1,1520,uitcq,17,-29.0
0,1521,djruh,0,1.0
3,1521,djruh,3,11.0
2,1521,hjmxr,6,-67.0
0,1521,hipzw,8,24.0
2,1521,hipzw,10,-62.0
3,1521,hipzw,11,7.0
1,1521,wizey,13,4.0
3,1521,wizey,15,-6.0
1,1521,uitcq,17,14.0
0,1522,djruh,0,6.0
3,1522,djruh,3,-6.0
2,1522,hjmxr,6,-126.0
0,1522,hipzw,8,-27.0
2,1522,hipzw,10,-22.0
3,1522,hipzw,11,56.0
3,1522,wizey,15,8.0
1,1522,uitcq,17,-19.0
0,1523,djruh,0,-26.0
3,1523,djruh,3,14.0
2,1523,hjmxr,6,6.0
0,1523,hipzw,8,-53.0
2,1523,hipzw,10,92.0
3,1523,hipzw,11,27.0
1,1523,wizey,13,64.0
3,1523,wizey,15,-58.0
1,1523,uitcq,17,-13.0
0,1524,djruh,0,-13.0
3,1524,djruh,3,-10.0
2,1524,hjmxr,6,27.0
0,1524,hipzw,8,-17.0
2,1524,hipzw,10,-32.0
3,1524,hipzw,11,31.0
3,1524,wizey,15,-4.0
1,1524,uitcq,17,16.0
0,1525,djruh,0,-13.0
3,1525,djruh,3,2.0
2,1525,hjmxr,6,-3.0
0,1525,hipzw,8,2.0
2,1525,hipzw,10,-1.0
3,1525,hipzw,11,1.0
1,1525,wizey,13,-53.0
3,1525,wizey,15,69.0
1,1525,uitcq,17,-30.0
0,1526,djruh,0,-4.0
3,1526,djruh,3,13.0
2,1526,hjmxr,6,-227.0
0,1526,hipzw,8,34.0
2,1526,hipzw,10,31.0
3,1526,hipzw,11,-55.0
1,1526,wizey,13,18.0
3,1526,wizey,15,3.0
1,1526,uitcq,17,-3.0
0,1527,djruh,0,-28.0
3,1527,djruh,3,13.0
2,1527,hjmxr,6,-14.0
0,1527,hipzw,8,44.0
2,1527,hipzw,10,-81.0
3,1527,hipzw,11,16.0
1,1527,wizey,13,12.0
3,1527,wizey,15,8.0
1,1527,uitcq,17,-18.0
0,1528,djruh,0,-52.0
3,1528,djruh,3,40.0
2,1528,hjmxr,6,-73.0
0,1528,hipzw,8,20.0
2,1528,hipzw,10,-12.0
3,1528,hipzw,11,-21.0
1,1528,wizey,13,26.0
3,1528,wizey,15,-47.0
1,1528,uitcq,17,15.0
0,1529,djruh,0,20.0
3,1529,djruh,3,8.0
2,1529,hjmxr,6,-81.0
0,1529,hipzw,8,-37.0
2,1529,hipzw,10,99.0
3,1529,hipzw,11,-21.0
1,1529,wizey,13,30.0
3,1529,wizey,15,-44.0
1,1529,uitcq,17,-37.0
0,1530,djruh,0,26.0
3,1530,djruh,3,-17.0
2,1530,hjmxr,6,-40.0
0,1530,hipzw,8,-21.0
