,ToS,stock,seller,buyer,volume,tradeID
0,1006,8,bsfah,world,-2.0,1006|8worldbsfah-2.0
0,1006,11,world,bsfah,1.0,1006|11worldbsfah1.0
0,1006,5,world,vahzp,1.0,1006|5worldvahzp1.0
0,1006,5,world,xkvbi,2.0,1006|5worldxkvbi2.0
0,1006,8,xkvbi,world,-2.0,1006|8worldxkvbi-2.0
0,1006,0,xkvbi,world,-1.0,1006|0worldxkvbi-1.0
0,1006,6,xkvbi,world,-1.0,1006|6worldxkvbi-1.0
0,1006,17,world,xkvbi,2.0,1006|17worldxkvbi2.0
0,1007,0,world,bsfah,2.0,1007|0worldbsfah2.0
0,1007,6,world,xkvbi,4.0,1007|6worldxkvbi4.0
0,1007,11,xkvbi,world,-1.0,1007|11worldxkvbi-1.0
0,1007,0,world,xkvbi,1.0,1007|0worldxkvbi1.0
0,1007,8,xkvbi,world,-2.0,1007|8worldxkvbi-2.0
0,1007,2,xkvbi,world,-1.0,1007|2worldxkvbi-1.0
0,1007,5,xkvbi,world,-3.0,1007|5worldxkvbi-3.0
0,1007,6,world,fpmrk,1.0,1007|6worldfpmrk1.0
0,1007,11,zrdwn,world,-1.0,1007|11worldzrdwn-1.0
0,1007,17,world,zrdwn,1.0,1007|17worldzrdwn1.0
0,1007,5,vahzp,world,-1.0,1007|5worldvahzp-1.0
0,1007,14,world,vahzp,1.0,1007|14worldvahzp1.0
0,1007,11,world,bsfah,1.0,1007|11worldbsfah1.0
0,1007,8,bsfah,world,-3.0,1007|8worldbsfah-3.0
0,1007,6,world,bsfah,5.0,1007|6worldbsfah5.0
0,1007,5,bsfah,world,-3.0,1007|5worldbsfah-3.0
0,1007,17,world,xkvbi,2.0,1007|17worldxkvbi2.0
0,1007,14,world,xkvbi,2.0,1007|14worldxkvbi2.0
0,1008,0,bsfah,world,-1.0,1008|0worldbsfah-1.0
0,1008,6,xkvbi,world,-7.0,1008|6worldxkvbi-7.0
0,1008,11,world,xkvbi,1.0,1008|11worldxkvbi1.0
0,1008,8,world,xkvbi,1.0,1008|8worldxkvbi1.0
0,1008,5,world,xkvbi,1.0,1008|5worldxkvbi1.0
0,1008,6,fpmrk,world,-1.0,1008|6worldfpmrk-1.0
0,1008,17,world,fpmrk,1.0,1008|17worldfpmrk1.0
0,1008,17,world,xkvbi,2.0,1008|17worldxkvbi2.0
0,1008,11,world,zrdwn,1.0,1008|11worldzrdwn1.0
0,1008,6,vahzp,world,-1.0,1008|6worldvahzp-1.0
0,1008,14,vahzp,world,-1.0,1008|14worldvahzp-1.0
0,1008,11,world,bsfah,2.0,1008|11worldbsfah2.0
0,1008,8,world,bsfah,2.0,1008|8worldbsfah2.0
0,1008,6,bsfah,world,-9.0,1008|6worldbsfah-9.0
0,1008,5,world,bsfah,1.0,1008|5worldbsfah1.0
0,1008,6,zrdwn,world,-1.0,1008|6worldzrdwn-1.0
0,1008,14,xkvbi,world,-1.0,1008|14worldxkvbi-1.0
0,1009,6,world,vahzp,1.0,1009|6worldvahzp1.0
0,1009,2,fpmrk,world,-1.0,1009|2worldfpmrk-1.0
0,1010,6,vahzp,world,-1.0,1010|6worldvahzp-1.0
0,1011,17,world,zrdwn,1.0,1011|17worldzrdwn1.0
0,1011,0,zrdwn,world,-1.0,1011|0worldzrdwn-1.0
0,1011,11,zrdwn,world,-1.0,1011|11worldzrdwn-1.0
0,1011,5,zrdwn,world,-1.0,1011|5worldzrdwn-1.0
0,1012,6,world,vahzp,1.0,1012|6worldvahzp1.0
0,1012,5,world,zrdwn,1.0,1012|5worldzrdwn1.0
0,1012,14,fpmrk,world,-1.0,1012|14worldfpmrk-1.0
0,1012,5,xkvbi,world,-1.0,1012|5worldxkvbi-1.0
0,1012,8,world,xkvbi,2.0,1012|8worldxkvbi2.0
0,1012,0,xkvbi,world,-2.0,1012|0worldxkvbi-2.0
0,1012,11,xkvbi,world,-1.0,1012|11worldxkvbi-1.0
0,1012,6,world,xkvbi,1.0,1012|6worldxkvbi1.0
0,1012,17,world,xkvbi,5.0,1012|17worldxkvbi5.0
0,1012,14,xkvbi,world,-3.0,1012|14worldxkvbi-3.0
0,1013,17,world,vahzp,1.0,1013|17worldvahzp1.0
0,1013,18,world,vahzp,1.0,1013|18worldvahzp1.0
0,1013,5,xkvbi,world,-1.0,1013|5worldxkvbi-1.0
0,1013,8,world,xkvbi,1.0,1013|8worldxkvbi1.0
0,1013,0,world,xkvbi,3.0,1013|0worldxkvbi3.0
0,1013,11,world,xkvbi,2.0,1013|11worldxkvbi2.0
0,1013,6,xkvbi,world,-1.0,1013|6worldxkvbi-1.0
0,1013,14,xkvbi,world,-1.0,1013|14worldxkvbi-1.0
0,1015,5,xkvbi,world,-1.0,1015|5worldxkvbi-1.0
0,1015,2,xkvbi,world,-1.0,1015|2worldxkvbi-1.0
0,1015,8,world,xkvbi,3.0,1015|8worldxkvbi3.0
0,1015,0,world,xkvbi,1.0,1015|0worldxkvbi1.0
0,1015,11,xkvbi,world,-2.0,1015|11worldxkvbi-2.0
0,1015,6,world,xkvbi,1.0,1015|6worldxkvbi1.0
0,1015,14,xkvbi,world,-2.0,1015|14worldxkvbi-2.0
0,1016,17,vahzp,world,-1.0,1016|17worldvahzp-1.0
0,1016,6,vahzp,world,-1.0,1016|6worldvahzp-1.0
0,1016,2,world,fpmrk,1.0,1016|2worldfpmrk1.0
0,1016,18,world,fpmrk,1.0,1016|18worldfpmrk1.0
0,1016,0,world,fpmrk,1.0,1016|0worldfpmrk1.0
0,1016,5,world,xkvbi,1.0,1016|5worldxkvbi1.0
0,1016,2,world,xkvbi,2.0,1016|2worldxkvbi2.0
0,1016,11,world,xkvbi,3.0,1016|11worldxkvbi3.0
0,1016,6,xkvbi,world,-1.0,1016|6worldxkvbi-1.0
0,1016,17,xkvbi,world,-1.0,1016|17worldxkvbi-1.0
0,1016,14,xkvbi,world,-1.0,1016|14worldxkvbi-1.0
0,1017,17,world,vahzp,1.0,1017|17worldvahzp1.0
0,1017,5,xkvbi,world,-2.0,1017|5worldxkvbi-2.0
0,1017,8,xkvbi,world,-2.0,1017|8worldxkvbi-2.0
0,1017,11,xkvbi,world,-1.0,1017|11worldxkvbi-1.0
0,1017,6,xkvbi,world,-1.0,1017|6worldxkvbi-1.0
0,1017,17,world,xkvbi,1.0,1017|17worldxkvbi1.0
0,1017,14,world,xkvbi,1.0,1017|14worldxkvbi1.0
0,1018,17,vahzp,world,-1.0,1018|17worldvahzp-1.0
0,1018,0,fpmrk,world,-1.0,1018|0worldfpmrk-1.0
0,1019,6,fpmrk,world,-1.0,1019|6worldfpmrk-1.0
0,1019,0,world,fpmrk,1.0,1019|0worldfpmrk1.0
0,1020,2,fpmrk,world,-1.0,1020|2worldfpmrk-1.0
0,1021,17,world,vahzp,1.0,1021|17worldvahzp1.0
0,1021,18,world,vahzp,1.0,1021|18worldvahzp1.0
0,1021,5,world,vahzp,1.0,1021|5worldvahzp1.0
0,1021,8,world,fpmrk,1.0,1021|8worldfpmrk1.0
0,1022,11,vahzp,world,-1.0,1022|11worldvahzp-1.0
0,1022,2,world,fpmrk,1.0,1022|2worldfpmrk1.0
0,1022,18,world,fpmrk,1.0,1022|18worldfpmrk1.0
0,1022,8,fpmrk,world,-1.0,1022|8worldfpmrk-1.0
0,1022,6,world,fpmrk,1.0,1022|6worldfpmrk1.0
0,1023,14,vahzp,world,-1.0,1023|14worldvahzp-1.0
0,1024,14,world,vahzp,1.0,1024|14worldvahzp1.0
0,1025,6,fpmrk,world,-1.0,1025|6worldfpmrk-1.0
0,1028,11,world,vahzp,1.0,1028|11worldvahzp1.0
0,1028,0,world,vahzp,1.0,1028|0worldvahzp1.0
0,1029,11,vahzp,world,-1.0,1029|11worldvahzp-1.0
0,1029,0,vahzp,world,-1.0,1029|0worldvahzp-1.0
0,1029,2,world,vahzp,1.0,1029|2worldvahzp1.0
0,1030,18,fpmrk,world,-1.0,1030|18worldfpmrk-1.0
0,1031,14,vahzp,world,-1.0,1031|14worldvahzp-1.0
0,1031,17,world,fpmrk,1.0,1031|17worldfpmrk1.0
0,1032,6,vahzp,world,-1.0,1032|6worldvahzp-1.0
0,1032,18,world,fpmrk,1.0,1032|18worldfpmrk1.0
0,1032,17,fpmrk,world,-1.0,1032|17worldfpmrk-1.0
0,1032,6,fpmrk,world,-1.0,1032|6worldfpmrk-1.0
0,1032,0,fpmrk,world,-1.0,1032|0worldfpmrk-1.0
0,1032,5,world,xkvbi,6.0,1032|5worldxkvbi6.0
0,1032,2,world,xkvbi,4.0,1032|2worldxkvbi4.0
0,1032,8,world,xkvbi,3.0,1032|8worldxkvbi3.0
0,1032,11,xkvbi,world,-3.0,1032|11worldxkvbi-3.0
0,1032,6,xkvbi,world,-10.0,1032|6worldxkvbi-10.0
0,1032,17,world,xkvbi,5.0,1032|17worldxkvbi5.0
0,1032,14,xkvbi,world,-3.0,1032|14worldxkvbi-3.0
0,1033,11,world,vahzp,1.0,1033|11worldvahzp1.0
0,1033,14,fpmrk,world,-1.0,1033|14worldfpmrk-1.0
0,1033,8,world,fpmrk,1.0,1033|8worldfpmrk1.0
0,1033,0,world,fpmrk,1.0,1033|0worldfpmrk1.0
0,1034,11,vahzp,world,-1.0,1034|11worldvahzp-1.0
0,1034,14,world,fpmrk,1.0,1034|14worldfpmrk1.0
0,1034,8,fpmrk,world,-1.0,1034|8worldfpmrk-1.0
0,1035,17,vahzp,world,-1.0,1035|17worldvahzp-1.0
0,1035,18,world,vahzp,1.0,1035|18worldvahzp1.0
0,1035,14,fpmrk,world,-1.0,1035|14worldfpmrk-1.0
0,1035,8,world,fpmrk,1.0,1035|8worldfpmrk1.0
0,1036,11,world,vahzp,1.0,1036|11worldvahzp1.0
0,1036,0,world,vahzp,1.0,1036|0worldvahzp1.0
0,1037,11,vahzp,world,-1.0,1037|11worldvahzp-1.0
0,1037,0,vahzp,world,-1.0,1037|0worldvahzp-1.0
0,1037,2,world,fpmrk,1.0,1037|2worldfpmrk1.0
0,1037,17,fpmrk,world,-1.0,1037|17worldfpmrk-1.0
0,1038,2,world,vahzp,1.0,1038|2worldvahzp1.0
0,1038,18,world,fpmrk,1.0,1038|18worldfpmrk1.0
0,1038,17,world,fpmrk,1.0,1038|17worldfpmrk1.0
0,1039,17,world,vahzp,1.0,1039|17worldvahzp1.0
0,1039,5,vahzp,world,-1.0,1039|5worldvahzp-1.0
0,1039,6,vahzp,world,-1.0,1039|6worldvahzp-1.0
0,1039,18,fpmrk,world,-1.0,1039|18worldfpmrk-1.0
0,1039,6,fpmrk,world,-1.0,1039|6worldfpmrk-1.0
0,1040,11,world,vahzp,1.0,1040|11worldvahzp1.0
