,ToS,stock,seller,buyer,volume,tradeID
0,1013,15,wizey,world,-10.0,1013|15worldwizey-10.0
0,1013,16,uitcq,world,-32.0,1013|16worlduitcq-32.0
0,1013,17,uitcq,world,-5.0,1013|17worlduitcq-5.0
0,1013,19,world,uitcq,61.0,1013|19worlduitcq61.0
0,1014,1,djruh,world,-3.0,1014|1worlddjruh-3.0
0,1014,2,world,djruh,6.0,1014|2worlddjruh6.0
0,1014,3,world,djruh,4.0,1014|3worlddjruh4.0
0,1014,4,hjmxr,world,-234.0,1014|4worldhjmxr-234.0
0,1014,5,world,hjmxr,159.0,1014|5worldhjmxr159.0
0,1014,8,world,hipzw,69.0,1014|8worldhipzw69.0
0,1014,9,hipzw,world,-42.0,1014|9worldhipzw-42.0
0,1014,11,hipzw,world,-65.0,1014|11worldhipzw-65.0
0,1014,13,wizey,world,-126.0,1014|13worldwizey-126.0
0,1014,15,world,wizey,103.0,1014|15worldwizey103.0
0,1014,16,uitcq,world,-48.0,1014|16worlduitcq-48.0
0,1014,17,world,uitcq,39.0,1014|17worlduitcq39.0
0,1014,19,world,uitcq,44.0,1014|19worlduitcq44.0
0,1015,1,world,djruh,33.0,1015|1worlddjruh33.0
0,1015,2,djruh,world,-27.0,1015|2worlddjruh-27.0
0,1015,3,djruh,world,-11.0,1015|3worlddjruh-11.0
0,1015,4,hjmxr,world,-122.0,1015|4worldhjmxr-122.0
0,1015,5,world,hjmxr,138.0,1015|5worldhjmxr138.0
0,1015,8,world,hipzw,15.0,1015|8worldhipzw15.0
0,1015,9,hipzw,world,-71.0,1015|9worldhipzw-71.0
0,1015,11,world,hipzw,39.0,1015|11worldhipzw39.0
0,1015,15,wizey,world,-14.0,1015|15worldwizey-14.0
0,1015,16,uitcq,world,-66.0,1015|16worlduitcq-66.0
0,1015,17,world,uitcq,49.0,1015|17worlduitcq49.0
0,1015,19,world,uitcq,65.0,1015|19worlduitcq65.0
0,1016,1,djruh,world,-17.0,1016|1worlddjruh-17.0
0,1016,2,world,djruh,8.0,1016|2worlddjruh8.0
0,1016,3,world,djruh,3.0,1016|3worlddjruh3.0
0,1016,4,hjmxr,world,-12.0,1016|4worldhjmxr-12.0
0,1016,5,hjmxr,world,-23.0,1016|5worldhjmxr-23.0
0,1016,8,world,hipzw,16.0,1016|8worldhipzw16.0
0,1016,9,hipzw,world,-44.0,1016|9worldhipzw-44.0
0,1016,11,world,hipzw,1.0,1016|11worldhipzw1.0
0,1016,15,world,wizey,12.0,1016|15worldwizey12.0
0,1016,16,uitcq,world,-10.0,1016|16worlduitcq-10.0
0,1016,17,world,uitcq,36.0,1016|17worlduitcq36.0
0,1016,19,uitcq,world,-29.0,1016|19worlduitcq-29.0
0,1017,0,world,djruh,9.0,1017|0worlddjruh9.0
0,1017,1,world,djruh,7.0,1017|1worlddjruh7.0
0,1017,2,djruh,world,-6.0,1017|2worlddjruh-6.0
0,1017,3,djruh,world,-15.0,1017|3worlddjruh-15.0
0,1017,4,world,hjmxr,157.0,1017|4worldhjmxr157.0
0,1017,5,hjmxr,world,-117.0,1017|5worldhjmxr-117.0
0,1017,8,world,hipzw,23.0,1017|8worldhipzw23.0
0,1017,9,hipzw,world,-30.0,1017|9worldhipzw-30.0
0,1017,11,hipzw,world,-14.0,1017|11worldhipzw-14.0
0,1017,13,wizey,world,-19.0,1017|13worldwizey-19.0
0,1017,15,wizey,world,-7.0,1017|15worldwizey-7.0
0,1017,16,uitcq,world,-33.0,1017|16worlduitcq-33.0
0,1017,17,world,uitcq,42.0,1017|17worlduitcq42.0
0,1017,19,world,uitcq,28.0,1017|19worlduitcq28.0
0,1018,1,world,djruh,1.0,1018|1worlddjruh1.0
0,1018,2,world,djruh,1.0,1018|2worlddjruh1.0
0,1018,3,world,djruh,8.0,1018|3worlddjruh8.0
0,1018,4,hjmxr,world,-114.0,1018|4worldhjmxr-114.0
0,1018,5,world,hjmxr,92.0,1018|5worldhjmxr92.0
0,1018,8,world,hipzw,9.0,1018|8worldhipzw9.0
0,1018,9,world,hipzw,38.0,1018|9worldhipzw38.0
0,1018,11,hipzw,world,-38.0,1018|11worldhipzw-38.0
0,1018,13,world,wizey,11.0,1018|13worldwizey11.0
0,1018,15,wizey,world,-6.0,1018|15worldwizey-6.0
0,1018,16,world,uitcq,39.0,1018|16worlduitcq39.0
0,1018,17,uitcq,world,-35.0,1018|17worlduitcq-35.0
0,1018,19,uitcq,world,-32.0,1018|19worlduitcq-32.0
0,1019,1,world,djruh,21.0,1019|1worlddjruh21.0
0,1019,2,djruh,world,-31.0,1019|2worlddjruh-31.0
0,1019,3,djruh,world,-2.0,1019|3worlddjruh-2.0
0,1019,4,hjmxr,world,-101.0,1019|4worldhjmxr-101.0
0,1019,5,hjmxr,world,-23.0,1019|5worldhjmxr-23.0
